frozen_layers,roc_auc
(),0.8288993218570684
"(0,)",0.8497652582159625
"(1,)",0.8050773778473309
"(2,)",0.8238567205703355
"(3,)",0.8120326899669622
"(4,)",0.8191618848895844
"(0, 1)",0.8123804555729438
"(0, 2)",0.8631542340462529
"(0, 3)",0.8233350721613633
"(0, 4)",0.8229873065553817
"(1, 2)",0.8155103460267779
"(1, 3)",0.8148148148148149
"(1, 4)",0.8469831333681099
"(2, 3)",0.7981220657276996
"(2, 4)",0.8438532429142758
"(3, 4)",0.8024691358024691
"(0, 1, 2)",0.803338549817423
"(0, 1, 3)",0.8045557294383585
"(0, 1, 4)",0.816205877238741
"(0, 2, 3)",0.8393322900365153
"(0, 2, 4)",0.8198574161015476
"(0, 3, 4)",0.8198574161015476
"(1, 2, 3)",0.7802121370196488
"(1, 2, 4)",0.817075291253695
"(1, 3, 4)",0.8137715179968702
"(2, 3, 4)",0.8003825421665797
"(0, 1, 2, 3)",0.7982959485306902
"(0, 1, 2, 4)",0.8271604938271605
"(0, 1, 3, 4)",0.8005564249695705
"(0, 2, 3, 4)",0.747000521648409
"(1, 2, 3, 4)",0.7965571205007824
"(0, 1, 2, 3, 4)",0.7181359763519387
